id,title,genres,keywords,cast,director,overview,popularity,vote_average,vote_count,release_date,budget,revenue,runtime,original_language,release_year,return_on_investment,runtime_category,weighted_score,metadata_soup,soup_length
19995,Avatar,"['action', 'adventure', 'fantasy', 'sciencefiction']","['cultureclash', 'future', 'spacewar', 'spacecolony', 'society', 'spacetravel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alienplanet', 'cgi', 'marine', 'soldier', 'battle', 'loveaffair', 'antiwar', 'powerrelations', 'mindandsoul', '3d']","['samworthington', 'zoesaldana', 'sigourneyweaver', 'stephenlang', 'michellerodriguez']",jamescameron,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,7.2,11800,2009-12-10,237000000.0,2787965087.0,162.0,en,2009,10.763565767932487,Long,7.050669301008783,cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d samworthington zoesaldana sigourneyweaver stephenlang michellerodriguez jamescameron action adventure fantasy sciencefiction,309
285,Pirates of the Caribbean: At World's End,"['adventure', 'fantasy', 'action']","['ocean', 'drugabuse', 'exoticisland', 'eastindiatradingcompany', ""loveofone'slife"", 'traitor', 'shipwreck', 'strongwoman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']","['johnnydepp', 'orlandobloom', 'keiraknightley', 'stellanskarsgård', 'chowyun-fat']",goreverbinski,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,6.9,4500,2007-05-19,300000000.0,961000000.0,169.0,en,2007,2.203333333333333,Long,6.665696105464818,ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger johnnydepp orlandobloom keiraknightley stellanskarsgård chowyun-fat goreverbinski adventure fantasy action,285
206647,Spectre,"['action', 'adventure', 'crime']","['spy', 'basedonnovel', 'secretagent', 'sequel', 'mi6', 'britishsecretservice', 'unitedkingdom']","['danielcraig', 'christophwaltz', 'léaseydoux', 'ralphfiennes', 'monicabellucci']",sammendes,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.376788,6.3,4466,2015-10-26,245000000.0,880674609.0,148.0,en,2015,2.5945902408163266,Standard,6.23939600832406,spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom danielcraig christophwaltz léaseydoux ralphfiennes monicabellucci sammendes action adventure crime,173
49026,The Dark Knight Rises,"['action', 'crime', 'drama', 'thriller']","['dccomics', 'crimefighter', 'terrorist', 'secretidentity', 'burglar', 'hostagedrama', 'timebomb', 'gothamcity', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragichero', 'terrorism', 'destruction', 'catwoman', 'catburglar', 'imax', 'flood', 'criminalunderworld', 'batman']","['christianbale', 'michaelcaine', 'garyoldman', 'annehathaway', 'tomhardy']",christophernolan,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,7.6,9106,2012-07-16,250000000.0,1084939099.0,165.0,en,2012,3.339756396,Long,7.346720532407277,dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman christianbale michaelcaine garyoldman annehathaway tomhardy christophernolan action crime drama thriller,322
49529,John Carter,"['action', 'adventure', 'sciencefiction']","['basedonnovel', 'mars', 'medallion', 'spacetravel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgarriceburroughs', 'alienrace', 'superhumanstrength', 'marscivilization', 'swordandplanet', '19thcentury', '3d']","['taylorkitsch', 'lynncollins', 'samanthamorton', 'willemdafoe', 'thomashadenchurch']",andrewstanton,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,6.1,2124,2012-03-07,260000000.0,284139100.0,132.0,en,2012,0.0928426923076923,Standard,6.0963679070457815,basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d taylorkitsch lynncollins samanthamorton willemdafoe thomashadenchurch andrewstanton action adventure sciencefiction,290
559,Spider-Man 3,"['fantasy', 'action', 'adventure']","['dualidentity', 'amnesia', 'sandstorm', ""loveofone'slife"", 'forgiveness', 'spider', 'wretch', 'deathofafriend', 'egomania', 'sand', 'narcism', 'hostility', 'marvelcomic', 'sequel', 'superhero', 'revenge']","['tobeymaguire', 'kirstendunst', 'jamesfranco', 'thomashadenchurch', 'tophergrace']",samraimi,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,5.9,3576,2007-05-01,258000000.0,890871626.0,139.0,en,2007,2.4529907984496124,Standard,5.9652497404843015,dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge tobeymaguire kirstendunst jamesfranco thomashadenchurch tophergrace samraimi fantasy action adventure,258
38757,Tangled,"['animation', 'family']","['hostage', 'magic', 'horse', 'fairytale', 'musical', 'princess', 'animation', 'tower', 'blondewoman', 'selfishness', 'healingpower', 'basedonfairytale', 'duringcreditsstinger', 'healinggift', 'animalsidekick']","['zacharylevi', 'mandymoore', 'donnamurphy', 'ronperlman', 'm.c.gainey']",byronhoward,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,7.4,3330,2010-11-24,260000000.0,591794936.0,100.0,en,2010,1.2761343692307692,Standard,6.934805393328341,hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick zacharylevi mandymoore donnamurphy ronperlman m.c.gainey byronhoward animation family,250
99861,Avengers: Age of Ultron,"['action', 'adventure', 'sciencefiction']","['marvelcomic', 'sequel', 'superhero', 'basedoncomicbook', 'vision', 'superheroteam', 'duringcreditsstinger', 'marvelcinematicuniverse', '3d']","['robertdowneyjr.', 'chrishemsworth', 'markruffalo', 'chrisevans', 'scarlettjohansson']",josswhedon,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.279229,7.3,6767,2015-04-22,280000000.0,1405403694.0,141.0,en,2015,4.019298907142857,Standard,7.04196762438448,marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d robertdowneyjr. chrishemsworth markruffalo chrisevans scarlettjohansson josswhedon action adventure sciencefiction,229
767,Harry Potter and the Half-Blood Prince,"['adventure', 'fantasy', 'family']","['witch', 'magic', 'broom', 'schoolofwitchcraft', 'wizardry', 'apparition', 'teenagecrush', 'werewolf']","['danielradcliffe', 'rupertgrint', 'emmawatson', 'tomfelton', 'michaelgambon']",davidyates,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,7.4,5293,2009-07-07,250000000.0,933959197.0,153.0,en,2009,2.735836788,Long,7.0628555676134,witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf danielradcliffe rupertgrint emmawatson tomfelton michaelgambon davidyates adventure fantasy family,177
209112,Batman v Superman: Dawn of Justice,"['action', 'adventure', 'fantasy']","['dccomics', 'vigilante', 'superhero', 'basedoncomicbook', 'revenge', 'superpowers', 'clarkkent', 'brucewayne', 'dcextendeduniverse']","['benaffleck', 'henrycavill', 'galgadot', 'amyadams', 'jesseeisenberg']",zacksnyder,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",155.790452,5.7,7004,2016-03-23,250000000.0,873260194.0,151.0,en,2016,2.493040776,Long,5.781535351813784,dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse benaffleck henrycavill galgadot amyadams jesseeisenberg zacksnyder action adventure fantasy,197
